,replay_file,time_played_at,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
67,/home/dominik/Links/SC2Reps/Acropolis LE (6).SC2Replay,2019-10-09 19:03:59+00:00,True,Zerg,Terran,2960.0,2981.0,KerMiTe,Acropolis LE,538,-21.0
68,/home/dominik/Links/SC2Reps/World of Sleepers LE (35).SC2Replay,2019-12-05 19:43:40+00:00,True,Protoss,Terran,4028.0,4001.0,Niinja,World of Sleepers LE,1308,27.0
69,/home/dominik/Links/SC2Reps/Zen LE (11).SC2Replay,2020-05-08 11:14:30+00:00,True,Protoss,Protoss,4107.0,4047.0,&lt;tXs&gt;<sp/>TheBloke,Zen LE,992,60.0
70,/home/dominik/Links/SC2Reps/World of Sleepers LE (21).SC2Replay,2019-11-18 15:35:35+00:00,True,Zerg,Protoss,3014.0,3023.0,&lt;DayJ&gt;<sp/>Fuzzy,World of Sleepers LE,640,-9.0
71,/home/dominik/Links/SC2Reps/Eternal Empire LE (7).SC2Replay,2019-12-11 20:04:00+00:00,False,Protoss,Protoss,4042.0,4028.0,&lt;PiGPan&gt;<sp/>TNTea,Eternal Empire LE,552,14.0
72,/home/dominik/Links/SC2Reps/World of Sleepers LE (36).SC2Replay,2019-12-12 19:02:09+00:00,True,Protoss,Zerg,4042.0,4029.0,contremaitre,World of Sleepers LE,772,13.0
73,/home/dominik/Links/SC2Reps/Simulacrum LE (10).SC2Replay,2019-12-20 18:42:21+00:00,False,Protoss,Zerg,3955.0,4160.0,Nyx,Simulacrum LE,329,-205.0
74,/home/dominik/Links/SC2Reps/Simulacrum LE (20).SC2Replay,2019-12-28 20:58:25+00:00,True,Protoss,Terran,3959.0,3937.0,rOoSter,Simulacrum LE,76,22.0
75,/home/dominik/Links/SC2Reps/Ephemeron LE (13).SC2Replay,2019-11-05 18:48:41+00:00,True,Protoss,Protoss,3752.0,3771.0,&lt;dumbfu&gt;<sp/>cheesus,Ephemeron LE,259,-19.0
76,/home/dominik/Links/SC2Reps/Ephemeron LE (44).SC2Replay,2020-02-18 18:41:05+00:00,False,Protoss,Zerg,4019.0,4108.0,Canfup,Ephemeron LE,671,-89.0
77,/home/dominik/Links/SC2Reps/Deathaura LE (23).SC2Replay,2020-07-13 08:49:06+00:00,False,Protoss,Protoss,4099.0,3963.0,GetLucky,Deathaura LE,548,136.0
78,/home/dominik/Links/SC2Reps/Deathaura LE (20).SC2Replay,2020-07-09 16:22:20+00:00,True,Protoss,Zerg,,,A.I. 1 (Elite),Deathaura LE,536,
79,/home/dominik/Links/SC2Reps/Eternal Empire LE (37).SC2Replay,2020-06-02 18:56:11+00:00,True,Protoss,Zerg,4097.0,4028.0,&lt;IndyK&gt;<sp/>Wawszyn,Eternal Empire LE,874,69.0
