,replay_file,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
2019-12-02 19:29:02+00:00,/home/dominik/Links/SC2Reps/Simulacrum LE (2).SC2Replay,True,Protoss,Terran,3961,4068,&lt;IWtD&gt;<sp/>DiabloFeTo,Simulacrum LE,575,-107
2019-12-02 19:42:48+00:00,/home/dominik/Links/SC2Reps/Simulacrum LE (3).SC2Replay,True,Protoss,Terran,3985,3960,&lt;OnkelS&gt;<sp/>Prolow,Simulacrum LE,685,25
2019-12-02 20:09:55+00:00,/home/dominik/Links/SC2Reps/Nightshade LE (2).SC2Replay,True,Protoss,Terran,4006,4016,kalarazar,Nightshade LE,1326,-10
2019-12-03 18:33:42+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (32).SC2Replay,False,Protoss,Protoss,4028,4055,&lt;Furri&gt;<sp/>PrinceOfIEM,World of Sleepers LE,476,-27
2019-12-03 18:55:23+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE (3).SC2Replay,True,Protoss,Terran,4007,3925,&lt;IBeAŚI&gt;<sp/>Bummsjordy,Eternal Empire LE,328,82
2019-12-03 19:10:16+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (33).SC2Replay,False,Protoss,Protoss,4026,4104,Orian,World of Sleepers LE,817,-78
2019-12-05 19:21:37+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (34).SC2Replay,True,Protoss,Zerg,4007,3989,AlexMacedon,World of Sleepers LE,585,18
2019-12-05 19:43:40+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (35).SC2Replay,True,Protoss,Terran,4028,4001,Niinja,World of Sleepers LE,1308,27
2019-12-09 20:18:26+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE (4).SC2Replay,False,Protoss,Protoss,4049,4237,Delaam,Eternal Empire LE,307,-188
2019-12-09 20:28:00+00:00,/home/dominik/Links/SC2Reps/Simulacrum LE (4).SC2Replay,False,Protoss,Zerg,4032,4161,PeterLax,Simulacrum LE,557,-129
2019-12-09 20:36:21+00:00,/home/dominik/Links/SC2Reps/Nightshade LE (3).SC2Replay,True,Protoss,Zerg,4015,4024,&lt;OGCOСK&gt;<sp/>ShushYo,Nightshade LE,454,-9
2019-12-09 20:39:03+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE (5).SC2Replay,False,Protoss,Protoss,4036,4108,Heradrass,Eternal Empire LE,122,-72
2019-12-10 19:05:25+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE (6).SC2Replay,True,Protoss,Zerg,4017,4125,NSƒFaxo,Eternal Empire LE,755,-108
2019-12-11 20:04:00+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE (7).SC2Replay,False,Protoss,Protoss,4042,4028,&lt;PiGPan&gt;<sp/>TNTea,Eternal Empire LE,552,14
2019-12-11 20:23:18+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE (8).SC2Replay,True,Protoss,Terran,4020,4012,Legionaru,Eternal Empire LE,1090,8
